day,rise,set
30-Mar-08,554,1839
31-Mar-08,552,1840
1-Apr-08,550,1842
2-Apr-08,548,1843
3-Apr-08,546,1845
4-Apr-08,544,1846
5-Apr-08,542,1847
6-Apr-08,540,1849
7-Apr-08,538,1850
8-Apr-08,536,1851
9-Apr-08,534,1853
10-Apr-08,532,1854
11-Apr-08,530,1856
12-Apr-08,528,1857
13-Apr-08,526,1858
14-Apr-08,525,1900
15-Apr-08,523,1901
16-Apr-08,521,1902
17-Apr-08,519,1904
18-Apr-08,517,1905
19-Apr-08,515,1907
20-Apr-08,514,1908
21-Apr-08,512,1909
22-Apr-08,510,1911
23-Apr-08,508,1912
24-Apr-08,507,1913
25-Apr-08,505,1915
26-Apr-08,503,1916
27-Apr-08,501,1918
28-Apr-08,500,1919
29-Apr-08,458,1920
30-Apr-08,457,1922
1-May-08,455,1923
2-May-08,453,1924
3-May-08,452,1926
4-May-08,450,1927
5-May-08,449,1928
6-May-08,447,1930
7-May-08,446,1931
8-May-08,445,1932
9-May-08,443,1934
10-May-08,442,1935
11-May-08,440,1936
12-May-08,439,1937
13-May-08,438,1939
14-May-08,437,1940
15-May-08,435,1941
16-May-08,434,1942
17-May-08,433,1944
18-May-08,432,1945
19-May-08,431,1946
20-May-08,430,1947
21-May-08,429,1948
22-May-08,428,1949
23-May-08,427,1951
24-May-08,426,1952
25-May-08,425,1953
26-May-08,424,1954
27-May-08,423,1955
28-May-08,423,1956
29-May-08,422,1957
30-May-08,421,1958
31-May-08,420,1959
1-Jun-08,420,2000
2-Jun-08,419,2000
3-Jun-08,419,2001
4-Jun-08,418,2002
5-Jun-08,418,2003
6-Jun-08,417,2004
7-Jun-08,417,2004
8-Jun-08,417,2005
9-Jun-08,416,2006
10-Jun-08,416,2006
11-Jun-08,416,2007
12-Jun-08,416,2007
13-Jun-08,416,2008
14-Jun-08,416,2008
15-Jun-08,416,2009
16-Jun-08,416,2009
17-Jun-08,416,2009
18-Jun-08,416,2010
19-Jun-08,416,2010
20-Jun-08,416,2010
21-Jun-08,416,2010
22-Jun-08,417,2011
23-Jun-08,417,2011
24-Jun-08,417,2011
25-Jun-08,418,2011
26-Jun-08,418,2011
27-Jun-08,418,2011
28-Jun-08,419,2011
29-Jun-08,419,2010
30-Jun-08,420,2010
1-Jul-08,421,2010
2-Jul-08,421,2010
3-Jul-08,422,2009
4-Jul-08,423,2009
5-Jul-08,423,2009
6-Jul-08,424,2008
7-Jul-08,425,2008
8-Jul-08,426,2007
9-Jul-08,427,2007
10-Jul-08,427,2006
11-Jul-08,428,2005
12-Jul-08,429,2005
13-Jul-08,430,2004
14-Jul-08,431,2003
15-Jul-08,432,2002
16-Jul-08,433,2002
17-Jul-08,434,2001
18-Jul-08,435,2000
19-Jul-08,436,1959
20-Jul-08,437,1958
21-Jul-08,438,1957
22-Jul-08,440,1956
23-Jul-08,441,1955
24-Jul-08,442,1953
25-Jul-08,443,1952
26-Jul-08,444,1951
27-Jul-08,445,1950
28-Jul-08,447,1949
29-Jul-08,448,1947
30-Jul-08,449,1946
31-Jul-08,450,1945
1-Aug-08,452,1943
2-Aug-08,453,1942
3-Aug-08,454,1940
4-Aug-08,455,1939
5-Aug-08,457,1938
6-Aug-08,458,1936
7-Aug-08,459,1934
8-Aug-08,500,1933
9-Aug-08,502,1931
10-Aug-08,503,1930
11-Aug-08,504,1928
12-Aug-08,505,1926
13-Aug-08,507,1925
14-Aug-08,508,1923
15-Aug-08,509,1921
16-Aug-08,511,1920
17-Aug-08,512,1918
18-Aug-08,513,1916
19-Aug-08,515,1914
20-Aug-08,516,1913
21-Aug-08,517,1911
22-Aug-08,519,1909
23-Aug-08,520,1907
24-Aug-08,521,1905
25-Aug-08,522,1903
26-Aug-08,524,1902
27-Aug-08,525,1900
28-Aug-08,526,1858
29-Aug-08,528,1856
30-Aug-08,529,1854
31-Aug-08,530,1852
1-Sep-08,532,1850
2-Sep-08,533,1848
3-Sep-08,534,1846
4-Sep-08,536,1844
5-Sep-08,537,1842
6-Sep-08,538,1840
7-Sep-08,539,1838
8-Sep-08,541,1836
9-Sep-08,542,1834
10-Sep-08,543,1832
11-Sep-08,545,1830
12-Sep-08,546,1828
13-Sep-08,547,1826
14-Sep-08,549,1824
15-Sep-08,550,1822
16-Sep-08,551,1820
17-Sep-08,552,1818
18-Sep-08,554,1816
19-Sep-08,555,1814
20-Sep-08,556,1812
21-Sep-08,558,1810
22-Sep-08,559,1808
23-Sep-08,600,1806
24-Sep-08,602,1804
25-Sep-08,603,1802
26-Sep-08,604,1800
27-Sep-08,606,1758
28-Sep-08,607,1756
29-Sep-08,608,1754
30-Sep-08,610,1752
1-Oct-08,611,1750
2-Oct-08,612,1748
3-Oct-08,614,1746
4-Oct-08,615,1744
5-Oct-08,617,1742
6-Oct-08,618,1740
7-Oct-08,619,1738
8-Oct-08,621,1736
9-Oct-08,622,1734
10-Oct-08,623,1732
11-Oct-08,625,1731
12-Oct-08,626,1729
13-Oct-08,628,1727
14-Oct-08,629,1725
15-Oct-08,630,1723
16-Oct-08,632,1721
17-Oct-08,633,1719
18-Oct-08,635,1718
19-Oct-08,636,1716
20-Oct-08,638,1714
21-Oct-08,639,1712
22-Oct-08,640,1711
23-Oct-08,642,1709
24-Oct-08,643,1707
25-Oct-08,645,1705
26-Oct-08,646,1704
27-Oct-08,648,1702
28-Oct-08,649,1701
29-Oct-08,651,1659
30-Oct-08,652,1657
31-Oct-08,654,1656
1-Nov-08,655,1654
2-Nov-08,657,1653
3-Nov-08,658,1651
4-Nov-08,700,1650
5-Nov-08,701,1649
6-Nov-08,703,1647
7-Nov-08,704,1646
8-Nov-08,706,1645
9-Nov-08,707,1643
10-Nov-08,709,1642
11-Nov-08,710,1641
12-Nov-08,711,1640
13-Nov-08,713,1638
14-Nov-08,714,1637
15-Nov-08,716,1636
16-Nov-08,717,1635
17-Nov-08,719,1634
18-Nov-08,720,1633
19-Nov-08,722,1632
20-Nov-08,723,1631
21-Nov-08,724,1630
22-Nov-08,726,1630
23-Nov-08,727,1629
24-Nov-08,728,1628
25-Nov-08,730,1627
26-Nov-08,731,1627
27-Nov-08,732,1626
28-Nov-08,734,1625
29-Nov-08,735,1625
30-Nov-08,736,1624
1-Dec-08,737,1624
2-Dec-08,739,1624
3-Dec-08,740,1623
4-Dec-08,741,1623
5-Dec-08,742,1623
6-Dec-08,743,1622
7-Dec-08,744,1622
8-Dec-08,745,1622
9-Dec-08,746,1622
10-Dec-08,747,1622
11-Dec-08,748,1622
12-Dec-08,749,1622
13-Dec-08,750,1622
14-Dec-08,750,1623
15-Dec-08,751,1623
16-Dec-08,752,1623
17-Dec-08,753,1623,
18-Dec-08,753,1624,
19-Dec-08,754,1624,
20-Dec-08,754,1625,
21-Dec-08,755,1625,
22-Dec-08,755,1626,
23-Dec-08,756,1626,
24-Dec-08,756,1627,
25-Dec-08,756,1627,
26-Dec-08,757,1628,
27-Dec-08,757,1629,
28-Dec-08,757,1630,
29-Dec-08,757,1631,
30-Dec-08,757,1631,
31-Dec-08,758,1632,
1-Jan-09,758,1633,
2-Jan-09,758,1634,
3-Jan-09,757,1635,
4-Jan-09,757,1636,
5-Jan-09,757,1638,
6-Jan-09,757,1639,
7-Jan-09,757,1640,
8-Jan-09,756,1641,
9-Jan-09,756,1642,
10-Jan-09,756,1643,
11-Jan-09,755,1645,
12-Jan-09,755,1646,
13-Jan-09,754,1647,
14-Jan-09,753,1649,
15-Jan-09,753,1650,
16-Jan-09,752,1651,
17-Jan-09,751,1653,
18-Jan-09,751,1654,
19-Jan-09,750,1655,
20-Jan-09,749,1657,
21-Jan-09,748,1658,
22-Jan-09,747,1700,
23-Jan-09,746,1701,
24-Jan-09,745,1703,
25-Jan-09,744,1704,
26-Jan-09,743,1706,
27-Jan-09,742,1707,
28-Jan-09,741,1709,
29-Jan-09,740,1710,
30-Jan-09,739,1712,
31-Jan-09,737,1713,
1-Feb-09,736,1715,
2-Feb-09,735,1716,
3-Feb-09,734,1718
4-Feb-09,732,1719
5-Feb-09,731,1721
6-Feb-09,729,1723
7-Feb-09,728,1724
8-Feb-09,726,1726
9-Feb-09,725,1727
10-Feb-09,723,1729
11-Feb-09,722,1730
12-Feb-09,720,1732
13-Feb-09,719,1733
14-Feb-09,717,1735
15-Feb-09,715,1736
16-Feb-09,714,1738
17-Feb-09,712,1739
18-Feb-09,710,1741
19-Feb-09,709,1743
20-Feb-09,707,1744
21-Feb-09,705,1746
22-Feb-09,704,1747
23-Feb-09,702,1749
24-Feb-09,700,1750
25-Feb-09,658,1752
26-Feb-09,656,1753
27-Feb-09,655,1755
28-Feb-09,653,1756
1-Mar-09,556,1837
2-Mar-09,554,1839
3-Mar-09,552,1840
4-Mar-09,651,1757
5-Mar-09,649,1759
6-Mar-09,647,1800
7-Mar-09,645,1802
8-Mar-09,643,1803
9-Mar-09,641,1805
10-Mar-09,639,1806
11-Mar-09,638,1808
12-Mar-09,636,1809
13-Mar-09,634,1811
14-Mar-09,632,1812
15-Mar-09,630,1813
16-Mar-09,628,1815
17-Mar-09,626,1816
18-Mar-09,624,1818
19-Mar-09,622,1819
20-Mar-09,620,1820
21-Mar-09,618,1822
22-Mar-09,616,1823
23-Mar-09,614,1825
24-Mar-09,612,1826
25-Mar-09,610,1827
26-Mar-09,608,1829
27-Mar-09,606,1830
28-Mar-09,604,1832
29-Mar-09,602,1833
30-Mar-09,600,1834
31-Mar-09,558,1836
1-Apr-09,459,1920
2-Apr-09,457,1921
3-Apr-09,421,1958
4-Apr-09,550,1841
5-Apr-09,548,1843
6-Apr-09,546,1844
7-Apr-09,544,1846
8-Apr-09,542,1847
9-Apr-09,540,1848
10-Apr-09,538,1850
11-Apr-09,536,1851
12-Apr-09,534,1852
13-Apr-09,533,1854
14-Apr-09,531,1855
15-Apr-09,529,1857
16-Apr-09,527,1858
17-Apr-09,525,1859
18-Apr-09,523,1901
19-Apr-09,521,1902
20-Apr-09,519,1903
21-Apr-09,518,1905
22-Apr-09,516,1906
23-Apr-09,514,1908
24-Apr-09,512,1909
25-Apr-09,510,1910
26-Apr-09,509,1912
27-Apr-09,507,1913
28-Apr-09,505,1914
29-Apr-09,504,1916
30-Apr-09,502,1917
1-May-09,500,1919
2-May-09,422,1957
3-May-09,421,1957
4-May-09,450,1945
5-May-09,455,1923
6-May-09,454,1924
7-May-09,452,1925
8-May-09,451,1927
9-May-09,449,1928
10-May-09,448,1929
11-May-09,446,1931
12-May-09,445,1932
13-May-09,443,1933
14-May-09,442,1935
15-May-09,441,1936
16-May-09,439,1937
17-May-09,438,1938
18-May-09,437,1940
19-May-09,436,1941
20-May-09,434,1942
21-May-09,433,1943
22-May-09,432,1945
23-May-09,431,1946
24-May-09,430,1947
25-May-09,429,1948
26-May-09,428,1949
27-May-09,427,1950
28-May-09,426,1951
29-May-09,425,1952
30-May-09,424,1954
31-May-09,424,1955
1-Jun-09,423,1956
2-Jun-09,419,2011
3-Jun-09,420,2010
4-Jun-09,530,1852
5-Jun-09,420,1959
6-Jun-09,419,2000
7-Jun-09,419,2001
8-Jun-09,418,2002
9-Jun-09,418,2003
10-Jun-09,418,2003
11-Jun-09,417,2004
12-Jun-09,417,2005
13-Jun-09,417,2005
14-Jun-09,416,2006
15-Jun-09,416,2007
16-Jun-09,416,2007
17-Jun-09,416,2008
18-Jun-09,416,2008
19-Jun-09,416,2009
20-Jun-09,416,2009
21-Jun-09,416,2009
22-Jun-09,416,2010
23-Jun-09,416,2010
24-Jun-09,416,2010
25-Jun-09,416,2010
26-Jun-09,417,2011
27-Jun-09,417,2011
28-Jun-09,417,2011
29-Jun-09,418,2011
30-Jun-09,418,2011
1-Jul-09,418,2011
2-Jul-09,419,2011
3-Jul-09,448,1948
4-Jul-09,449,1946
5-Jul-09,653,1656
6-Jul-09,421,2010
7-Jul-09,421,2010
8-Jul-09,422,2010
9-Jul-09,422,2009
10-Jul-09,423,2009
11-Jul-09,424,2008
12-Jul-09,425,2008
13-Jul-09,426,2007
14-Jul-09,426,2007
15-Jul-09,427,2006
16-Jul-09,428,2006
17-Jul-09,429,2005
18-Jul-09,430,2004
19-Jul-09,431,2003
20-Jul-09,432,2003
21-Jul-09,433,2002
22-Jul-09,434,2001
23-Jul-09,435,2000
24-Jul-09,436,1959
25-Jul-09,437,1958
26-Jul-09,438,1957
27-Jul-09,439,1956
28-Jul-09,440,1955
29-Jul-09,442,1954
30-Jul-09,443,1953
31-Jul-09,444,1951
1-Aug-09,445,1950
2-Aug-09,446,1949
3-Aug-09,527,1856
4-Aug-09,529,1854
5-Aug-09,758,1632
6-Aug-09,451,1944
7-Aug-09,452,1942
8-Aug-09,454,1941
9-Aug-09,455,1939
10-Aug-09,456,1938
11-Aug-09,458,1936
12-Aug-09,459,1935
13-Aug-09,500,1933
14-Aug-09,501,1932
15-Aug-09,503,1930
16-Aug-09,504,1929
17-Aug-09,505,1927
18-Aug-09,506,1925
19-Aug-09,508,1924
20-Aug-09,509,1922
21-Aug-09,510,1920
22-Aug-09,512,1918
23-Aug-09,513,1917
24-Aug-09,514,1915
25-Aug-09,516,1913
26-Aug-09,517,1911
27-Aug-09,518,1909
28-Aug-09,520,1908
29-Aug-09,521,1906
30-Aug-09,522,1904
31-Aug-09,523,1902
1-Sep-09,525,1900
2-Sep-09,526,1858
3-Sep-09,608,1754
4-Sep-09,609,1752
5-Sep-09,531,1851
6-Sep-09,533,1849
7-Sep-09,534,1847
8-Sep-09,535,1845
9-Sep-09,537,1843
10-Sep-09,538,1841
11-Sep-09,539,1839
12-Sep-09,540,1837
13-Sep-09,542,1835
14-Sep-09,543,1833
15-Sep-09,544,1831
16-Sep-09,546,1829
17-Sep-09,547,1827
18-Sep-09,548,1825
19-Sep-09,550,1823
20-Sep-09,551,1821
21-Sep-09,552,1819
22-Sep-09,554,1817
23-Sep-09,555,1815
24-Sep-09,556,1813
25-Sep-09,557,1811
26-Sep-09,559,1809
27-Sep-09,600,1806
28-Sep-09,601,1804
29-Sep-09,603,1802
30-Sep-09,604,1800
1-Oct-09,605,1758
2-Oct-09,607,1756
3-Oct-09,650,1659
4-Oct-09,652,1658
5-Oct-09,611,1750
6-Oct-09,612,1749
7-Oct-09,613,1747
8-Oct-09,615,1745
9-Oct-09,616,1743
10-Oct-09,618,1741
11-Oct-09,619,1739
12-Oct-09,620,1737
13-Oct-09,622,1735
14-Oct-09,623,1733
15-Oct-09,624,1731
16-Oct-09,626,1729
17-Oct-09,627,1727
18-Oct-09,629,1725
19-Oct-09,630,1724
20-Oct-09,632,1722
21-Oct-09,633,1720
22-Oct-09,634,1718
23-Oct-09,636,1716
24-Oct-09,637,1715
25-Oct-09,639,1713
26-Oct-09,640,1711
27-Oct-09,642,1709
28-Oct-09,643,1708
29-Oct-09,645,1706
30-Oct-09,646,1704
31-Oct-09,647,1703
1-Nov-09,649,1701
2-Nov-09,735,1625
3-Nov-09,736,1625
4-Nov-09,655,1655
5-Nov-09,656,1653
6-Nov-09,658,1652
7-Nov-09,659,1650
8-Nov-09,701,1649
9-Nov-09,702,1648
10-Nov-09,704,1646
11-Nov-09,705,1645
12-Nov-09,707,1644
13-Nov-09,708,1642
14-Nov-09,710,1641
15-Nov-09,711,1640
16-Nov-09,713,1639
17-Nov-09,714,1638
18-Nov-09,715,1636
19-Nov-09,717,1635
20-Nov-09,718,1634
21-Nov-09,720,1633
22-Nov-09,721,1632
23-Nov-09,723,1631
24-Nov-09,724,1631
25-Nov-09,725,1630
26-Nov-09,727,1629
27-Nov-09,728,1628
28-Nov-09,729,1627
29-Nov-09,731,1627
30-Nov-09,732,1626
1-Dec-09,733,1626
2-Dec-09,757,1630
3-Dec-09,757,1631
4-Dec-09,737,1624
5-Dec-09,738,1624
6-Dec-09,739,1623
7-Dec-09,741,1623
8-Dec-09,742,1623
9-Dec-09,743,1623
10-Dec-09,744,1622
11-Dec-09,745,1622
12-Dec-09,746,1622
13-Dec-09,747,1622
14-Dec-09,748,1622
15-Dec-09,749,1622
16-Dec-09,749,1622
17-Dec-09,750,1622
18-Dec-09,751,1623
19-Dec-09,752,1623
20-Dec-09,752,1623
21-Dec-09,753,1624
22-Dec-09,754,1624
23-Dec-09,754,1624
24-Dec-09,755,1625
25-Dec-09,755,1625
26-Dec-09,756,1626
27-Dec-09,756,1627
28-Dec-09,756,1627
29-Dec-09,757,1628
30-Dec-09,757,1629
31-Dec-09,757,1630
1-Jan-10,758,1633
2-Jan-10,757,1634
3-Jan-10,757,1635
4-Jan-10,757,1636
5-Jan-10,757,1637
6-Jan-10,757,1638
7-Jan-10,757,1639
8-Jan-10,756,1641
9-Jan-10,756,1642
10-Jan-10,756,1643
11-Jan-10,755,1644
12-Jan-10,755,1646
13-Jan-10,754,1647
14-Jan-10,754,1648
15-Jan-10,753,1650
16-Jan-10,752,1651
17-Jan-10,752,1652
18-Jan-10,751,1654
19-Jan-10,750,1655
20-Jan-10,749,1656
21-Jan-10,748,1658
22-Jan-10,747,1659
23-Jan-10,747,1701
24-Jan-10,746,1702
25-Jan-10,745,1704
26-Jan-10,743,1705
27-Jan-10,742,1707
28-Jan-10,741,1708
29-Jan-10,740,1710
30-Jan-10,739,1711
31-Jan-10,738,1713
1-Feb-10,736,1714
2-Feb-10,735,1716
3-Feb-10,734,1717
4-Feb-10,732,1719
5-Feb-10,731,1721
6-Feb-10,730,1722
7-Feb-10,728,1724
8-Feb-10,727,1725
9-Feb-10,725,1727
10-Feb-10,724,1728
11-Feb-10,722,1730
12-Feb-10,721,1731
13-Feb-10,719,1733
14-Feb-10,718,1735
15-Feb-10,716,1736
16-Feb-10,714,1738
17-Feb-10,713,1739
18-Feb-10,711,1741
19-Feb-10,709,1742
20-Feb-10,707,1744
21-Feb-10,706,1745
22-Feb-10,704,1747
23-Feb-10,702,1748
24-Feb-10,700,1750
25-Feb-10,659,1751
26-Feb-10,657,1753
27-Feb-10,655,1754
28-Feb-10,653,1756
1-Mar-10,556,1837
2-Mar-10,554,1838
3-Mar-10,552,1840
4-Mar-10,651,1757
5-Mar-10,649,1759
6-Mar-10,648,1800
7-Mar-10,646,1801
8-Mar-10,644,1803
9-Mar-10,642,1804
10-Mar-10,640,1806
11-Mar-10,638,1807
12-Mar-10,636,1809
13-Mar-10,634,1810
14-Mar-10,632,1812
15-Mar-10,630,1813
16-Mar-10,628,1814
17-Mar-10,626,1816
18-Mar-10,624,1817
19-Mar-10,622,1819
20-Mar-10,620,1820
21-Mar-10,618,1822
22-Mar-10,616,1823
23-Mar-10,614,1824
24-Mar-10,612,1826
25-Mar-10,610,1827
26-Mar-10,608,1829
27-Mar-10,606,1830
28-Mar-10,604,1831
29-Mar-10,602,1833
30-Mar-10,600,1834
31-Mar-10,558,1836
1-Apr-10,459,1920
2-Apr-10,457,1921
3-Apr-10,421,1958
4-Apr-10,551,1841
5-Apr-10,549,1842
6-Apr-10,547,1844
7-Apr-10,545,1845
8-Apr-10,543,1847
9-Apr-10,541,1848
10-Apr-10,539,1849
11-Apr-10,537,1851
12-Apr-10,535,1852
13-Apr-10,533,1853
14-Apr-10,531,1855
15-Apr-10,529,1856
16-Apr-10,527,1858
17-Apr-10,525,1859
18-Apr-10,524,1900
19-Apr-10,522,1902
20-Apr-10,520,1903
21-Apr-10,518,1905
22-Apr-10,516,1906
23-Apr-10,514,1907
24-Apr-10,513,1909
25-Apr-10,511,1910
26-Apr-10,509,1911
27-Apr-10,507,1913
28-Apr-10,506,1914
29-Apr-10,504,1915
30-Apr-10,502,1917
1-May-10,501,1918
2-May-10,422,1956
3-May-10,421,1957
4-May-10,450,1945
5-May-10,456,1922
6-May-10,454,1924
7-May-10,453,1925
8-May-10,451,1926
9-May-10,450,1928
10-May-10,448,1929
11-May-10,447,1930
12-May-10,445,1932
13-May-10,444,1933
14-May-10,442,1934
15-May-10,441,1936
16-May-10,440,1937
17-May-10,438,1938
18-May-10,437,1939
19-May-10,436,1941
20-May-10,435,1942
21-May-10,434,1943
22-May-10,432,1944
23-May-10,431,1945
24-May-10,430,1947
25-May-10,429,1948
26-May-10,428,1949
27-May-10,427,1950
28-May-10,426,1951
29-May-10,425,1952
30-May-10,425,1953
31-May-10,424,1954
1-Jun-10,423,1955
2-Jun-10,419,2011
3-Jun-10,420,2010
4-Jun-10,530,1853
5-Jun-10,420,1959
6-Jun-10,420,2000
7-Jun-10,419,2001
8-Jun-10,419,2002
9-Jun-10,418,2002
10-Jun-10,418,2003
11-Jun-10,417,2004
12-Jun-10,417,2005
13-Jun-10,417,2005
14-Jun-10,416,2006
15-Jun-10,416,2007
16-Jun-10,416,2007
17-Jun-10,416,2008
18-Jun-10,416,2008
19-Jun-10,416,2009
20-Jun-10,416,2009
21-Jun-10,416,2009
22-Jun-10,416,2010
23-Jun-10,416,2010
24-Jun-10,416,2010
25-Jun-10,416,2010
26-Jun-10,417,2011
27-Jun-10,417,2011
28-Jun-10,417,2011
29-Jun-10,417,2011
30-Jun-10,418,2011
1-Jul-10,418,2011
2-Jul-10,419,2011
3-Jul-10,447,1948
4-Jul-10,448,1947
5-Jul-10,653,1657
6-Jul-10,420,2010
7-Jul-10,421,2010
8-Jul-10,422,2010
9-Jul-10,422,2009
10-Jul-10,423,2009
11-Jul-10,424,2008
12-Jul-10,425,2008
13-Jul-10,425,2007
14-Jul-10,426,2007
15-Jul-10,427,2006
16-Jul-10,428,2006
17-Jul-10,429,2005
18-Jul-10,430,2004
19-Jul-10,431,2004
20-Jul-10,432,2003
21-Jul-10,433,2002
22-Jul-10,434,2001
23-Jul-10,435,2000
24-Jul-10,436,1959
25-Jul-10,437,1958
26-Jul-10,438,1957
27-Jul-10,439,1956
28-Jul-10,440,1955
29-Jul-10,441,1954
30-Jul-10,443,1953
31-Jul-10,444,1952
1-Aug-10,445,1951
2-Aug-10,446,1949
3-Aug-10,527,1857
4-Aug-10,528,1855
5-Aug-10,757,1632
6-Aug-10,451,1944
7-Aug-10,452,1943
8-Aug-10,453,1941
9-Aug-10,455,1940
10-Aug-10,456,1938
11-Aug-10,457,1937
12-Aug-10,458,1935
13-Aug-10,500,1934
14-Aug-10,501,1932
15-Aug-10,502,1931
16-Aug-10,504,1929
17-Aug-10,505,1927
18-Aug-10,506,1926
19-Aug-10,507,1924
20-Aug-10,509,1922
21-Aug-10,510,1921
22-Aug-10,511,1919
23-Aug-10,513,1917
24-Aug-10,514,1915
25-Aug-10,515,1913
26-Aug-10,517,1912
27-Aug-10,518,1910
28-Aug-10,519,1908
29-Aug-10,521,1906
30-Aug-10,522,1904
31-Aug-10,523,1902
1-Sep-10,524,1901
2-Sep-10,526,1859
3-Sep-10,608,1755
4-Sep-10,609,1753
5-Sep-10,531,1851
6-Sep-10,532,1849
7-Sep-10,534,1847
8-Sep-10,535,1845
9-Sep-10,536,1843
10-Sep-10,538,1841
11-Sep-10,539,1839
12-Sep-10,540,1837
13-Sep-10,541,1835
14-Sep-10,543,1833
15-Sep-10,544,1831
16-Sep-10,545,1829
17-Sep-10,547,1827
18-Sep-10,548,1825
19-Sep-10,549,1823
20-Sep-10,551,1821
21-Sep-10,552,1819
22-Sep-10,553,1817
23-Sep-10,555,1815
24-Sep-10,556,1813
25-Sep-10,557,1811
26-Sep-10,558,1809
27-Sep-10,600,1807
28-Sep-10,601,1805
29-Sep-10,602,1803
30-Sep-10,604,1801
1-Oct-10,605,1759
2-Oct-10,606,1757
3-Oct-10,650,1700
4-Oct-10,652,1658
5-Oct-10,610,1751
6-Oct-10,612,1749
7-Oct-10,613,1747
8-Oct-10,615,1745
9-Oct-10,616,1743
10-Oct-10,617,1741
11-Oct-10,619,1739
12-Oct-10,620,1737
13-Oct-10,621,1735
14-Oct-10,623,1733
15-Oct-10,624,1731
16-Oct-10,626,1730
17-Oct-10,627,1728
18-Oct-10,628,1726
19-Oct-10,630,1724
20-Oct-10,631,1722
21-Oct-10,633,1720
22-Oct-10,634,1719
23-Oct-10,635,1717
24-Oct-10,637,1715
25-Oct-10,638,1713
26-Oct-10,640,1711
27-Oct-10,641,1710
28-Oct-10,643,1708
29-Oct-10,644,1706
30-Oct-10,646,1705
31-Oct-10,647,1703
1-Nov-10,649,1701
2-Nov-10,734,1625
3-Nov-10,736,1625
4-Nov-10,654,1655
5-Nov-10,656,1654
6-Nov-10,657,1652
7-Nov-10,659,1651
8-Nov-10,700,1649
9-Nov-10,702,1648
10-Nov-10,703,1647
11-Nov-10,705,1645
12-Nov-10,706,1644
13-Nov-10,708,1643
14-Nov-10,709,1641
15-Nov-10,711,1640
16-Nov-10,712,1639
17-Nov-10,714,1638
18-Nov-10,715,1637
19-Nov-10,717,1636
20-Nov-10,718,1635
21-Nov-10,719,1634
22-Nov-10,721,1633
23-Nov-10,722,1632
24-Nov-10,724,1631
25-Nov-10,725,1630
26-Nov-10,726,1629
27-Nov-10,728,1628
28-Nov-10,729,1628
29-Nov-10,730,1627
30-Nov-10,732,1626
1-Dec-10,733,1626
2-Dec-10,757,1630
3-Dec-10,757,1631
4-Dec-10,737,1624
5-Dec-10,738,1624
6-Dec-10,739,1623
7-Dec-10,740,1623
8-Dec-10,741,1623
9-Dec-10,743,1623
10-Dec-10,744,1622
11-Dec-10,745,1622
12-Dec-10,746,1622
13-Dec-10,747,1622
14-Dec-10,747,1622
15-Dec-10,748,1622
16-Dec-10,749,1622
17-Dec-10,750,1622
18-Dec-10,751,1623
19-Dec-10,752,1623
20-Dec-10,752,1623
21-Dec-10,753,1624
22-Dec-10,754,1624
23-Dec-10,754,1624
24-Dec-10,755,1625
25-Dec-10,755,1625
26-Dec-10,756,1626
27-Dec-10,756,1627
28-Dec-10,756,1627
